 SR NO.,CUSTOMER NAME,MATERIAL TYPE,PART SIZE,CUSTOMER PART CODE,UOM,RECIVED QTY,DISPATCH QTY,BALANCE QTY,STOCK IN KG PER PIC,STOCK IN KG ,,
88,BOSCH,VCI SHEET,145 X 285 X 320,,PCS,12700,5000,7700,0.006,46.2,,
89,BOSCH,VCI BAG,410 X 160 X 160 X 480,,PCS,4900,4900,0,0.0082,0,,
90,BOSCH,VCI BAG,410 x 160 x 160 x 570,,PCS,3200,3200,0,,,,
91,BOSCH,VCI BAG,600 X 200 X 200 X 450,6000.826.457,PCS,2800,,2800,0.0112,31.36,,
92,BOSCH,VCI BLUE PRINTED,600 X 200 X 200 X 600 X 300,,PCS,2700,1035,1665,0.07,116.55,,
93,BOSCH,VCI BAG,90 X 100 320,,PCS,93000,90000,3000,0.001,3,,
94,BOSCH,VCI BAG,90 X 150  80 MIC,6000.802.875,PCS,76900,28000,48900,0.002,97.8,,
95,BOSCH,VCI BAG,160 X 410,,PCS,1545,,1545,0.01,15.45,,
96,BOSCH,VCI BAG,240 X 500 X 80,6000.172.967,PCS,16820,16820,0,0.0018,0,,
97,BOSCH,LD BAG,180 X 285,,PCS,0,,0,0.008,0,,
98,BOSCH,LD BAG,135 X 250,,PCS,3220,3220,0,0.005,0,,
99,BOSCH,LD BAG,400 X 600 320,,PCS,30175,24000,6175,0.0036,22.23,,
100,BOSCH,GUSSET BAG,300 X 100 X 100 X 300 75 MIC,,PCS,875,,875,0.08,70,,
101,BOSCH,PAPER SHEET,250 X 375,,PCS,7516,7516,0,0.014,0,,
102,BOSCH,PAPER SHEET,220 X 320,6000.814.096,PCS,0,0,0,0.01,0,,
103,BOSCH,PAPER SHEET,400 X 120,6000.814.274,PCS,0,,0,0.007,0,,
104,BOSCH,VCI BLUE BAG,210 X 250 150 MIC,,PCS,19270,2000,17270,0.0016,27.632,,
105,BOSCH,VCI BAG,230 X 325 320,6000.799.040,PCS,7110,7110,0,0.011,0,,
106,BOSCH,VCI BAG NATURAL,130 X 430 X 808,,KGS,0,,0,1,0,,
107,BOSCH,VCI BAG NATURAL,130 X 435 X 808,,KGS,639.3,639.3,0,1,0,,
108,BOSCH,VCI BAG NATURAL,130 X 440 808,,KGS,6676.4,6676.4,0,1,0,,
109,BOSCH,VCI BAG NATURAL,130 X 440 480,,KGS,80.5,80.5,0,,,,
110,BOSCH,VCI BAG,230 X 340 80 MIC,6000.171.043,PCS,54480,54480,0,0.012352,0,,
