 SR NO.,CUSTOMER NAME,MATERIAL TYPE,PART SIZE,CUSTOMER PART CODE,UOM,RECIVED QTY,DISPATCH QTY,BALANCE QTY,STOCK IN KG PER PIC,STOCK IN KG ,,
519,NBC,L.D.PRINTED SHEET,250 X 250 MM,4679555,KGS,0,0,0,1,0,,
520,NBC,L.D.PRINTED,150 X 150 MM (50MIC.),4679551,KGS,0,0,0,1,0,,
521,NBC,L.D.PRINTED,180 X 180 MM,4679552,KGS,173.9,0,173.9,1,173.9,,
522,NBC,L.D.PRINTED,230 X 230 130 MIC,,KGS,293.7,293.7,0,1,0,,
523,NBC,L.D.PRINTED SHEET,200 X 200 MM 50 MIC,4679553,KGS,206,206,0,1,0,,
524,NBC,L.D.PRINTED,200 X 200 MM 130 MIC,4667693,KGS,677.6,677.6,0,1,0,,
525,NBC,L.D.PRINTED BAG,1000 X 5000,4665836,KGS,0,0,0,1,0,,
526,NBC,L.D.PRINTED,1220 X 1220,4640380/4682256,KGS,0,0,0,1,0,,
527,NBC,L.D.PRINTED,260 X 260 MM 130 MIC,4668263,KGS,299,299,0,1,0,,
528,NBC,L.D.PRINTED,150 X 150 (130MIC.),4667692,KGS,488.1,488.1,0,1,0,,
529,NBC,H.M. PRINTED,215 X 215 MM,4667206,KGS,0,0,0,1,0,,
530,NBC,H.M. PRINTED,260 X 260 MM,4667207,KGS,1246.8,1246.8,0,1,0,,
531,NBC,H.M. PRINTED,280 X 280 MM 52 MIC,4667224,KGS,208.1,208.1,0,1,0,,
532,NBC,H.M. PRINTED,350 X 350 MM,4667226,KGS,197.9,197.9,0,1,0,,
533,NBC,H.M. PRINTED,300 X 300 X 208,4667225,KGS,296.6,296.6,0,1,0,,
534,NBC,H.M. PRINTED,380 X 380 52 MIC,4667227,KGS,220.5,220.5,0,1,0,,
535,NBC,H.M. PRINTED BLUE,300 X 300,4667230,KGS,45.4,45.4,0,1,0,,
536,NBC,LD PRINTED BLUE,200 X 200,,KGS,331.3,331.3,0,1,0,,
537,NBC,H.M. PRINTED  BAG,125 X 125 50 MIC,4665871,KGS,8.3,8.3,0,1,0,,
538,NBC,H.M. PRINTED  BAG,90 X 200,4665870,KGS,0,0,0,1,0,,
539,NBC,H.M. PRINTED BLUE,230 X 230,4668737,KGS,193,193,0,1,0,,
540,NBC,HM NATURAL PLAIN,16 X 22 X 205,,PCS,45400,45400,0,0.0225,0,,
541,NBC,H.M. PRINTED,230 X 230 X 208,4667208,KGS,194,194,0,1,0,,
542,NBC,LD BAG,445 X 165 X 165 X 635 ,4669173,KGS,397.7,397.7,0,1,0,,
543,NBC,H.M. PRINTED,420 X 60 X 60 X 650,4668811,KGS,0,0,0,1,0,,
544,NBC,LD BAG,850 X 1050,4657456/4682255,KGS,0,0,0,1,0,,
545,NBC,H.M. PRINTED,600 X 600 X 200,4667229,KGS,0,0,0,1,0,,
546,NBC,H.M. PRINTED,230 X 50 X 50 X 450,4669183,KGS,0,0,0,1,0,,
547,NBC,LAMINATE POUCH,300 X 310,,PCS,0,0,0,0.011,0,,
548,NBC,LAMINATE POUCH,350 X 360,,PCS,0,0,0,0.015,0,,
549,NBC,H.M. PRINTED,320 X 60 X 60 X 600,4669181,KGS,383.5,383.5,0,1,0,,
550,NBC,H.M. PRINTED,450 X 450 52 MIC,4667228,KGS,135.9,135.9,0,1,0,,
551,NBC,LD BAG,915 X 915,4602924/4682254,KGS,0,0,0,1,0,,
552,NBC,LD sheet,100 x 100,4670650,KGS,264.8,264.8,0,1,0,,
553,NBC,VCI BLUE SHEET,200 X 300 60 MIC,,KGS,294.4,294.4,0,1,0,,
554,NBC,VCI BLUE PRINT SHEET,16 X 16 75 MIC,,PCS,36640,36640,0,0.0116,0,,
555,NBC,L.D. PRINTED,229 X 840,4665835/4682252,KGS,0,0,0,1,0,,
556,NBC,VCI BLUE SHEET,24 X 24 75 MIC,,PCS,25730,25730,0,0.0267,0,,
557,NBC,VCI BLUE PRINTED   ,100 X 150 80 MIC,,PCS,10000,10000,0,0.0026,0,,
558,NBC,VCI BAG,25 X 35 75 MIC,,KGS,1738.1,1738.1,0,1,0,,
559,NBC,VCI BLUE SHEET ROLL,44 X 75,,KGS,1095,1095,0,,,,
560,NBC,VCI BLUE,8 X 8,,KGS,24.4,24.4,0,,,,
,NBC,LAMINATED FOIL Pouch,130 X 270,,PCS,29120,29120,0,,,,
,NBC,LAMINATED FOIL Pouch,90 X 160,,PCS,46215,46215,0,,,,
,NBC,LAMINATED FOIL Pouch,60 X 150,,PCS,54100,54100,0,,,,
561,ONASSIS AUTO,VCI BAG YELLOW,70 X 800,,PCS,6250,,6250,,,,
562,ONASSIS AUTO,VCI BAG YELLOW,800 X 280 X 480,,PCS,10800,,10800,,,,
563,ONASSIS AUTO,VCI BAG YELLOW,5 X 8 X 300,,PCS,33450,33450,0,,,,
564,ONASSIS AUTO,VCI BAG YELLOW,4.5 X 12 X 400,,PCS,10720,3000,7720,,,,
565,PADMINI,VCI BAG,8 X 8 X 320,,PCS,104650,99950,4700,0.001,4.7,ok,
566,PAL,VCI BAG,8 X 16 75 MIC,,PCS,58525,55630,2895,0.012037,34.847115,ok,
567,PLRSY,VCI BAG,100 X 250,,PCS,26.7,26.7,0,0.003,0,ok,
568,PLRSY,VCI BAG,155 X 165,,PCS,3000,3000,0,0.003,0,ok,
569,PORTH,HM PRINTED,6 X 22,,KGS,105,105,0,1,0,,
570,PORTH,HM PRINTED,6 X 10,,KGS,30.8,30.8,0,1,0,,
571,PORTH,HM PRINTED,10 X 19,,KGS,67.9,67.9,0,1,0,,
572,POSLIP,HM PRINTED,9.5 X 12,,KGS,67.6,67.6,0,1,0,,
573,POSLIP,HM PRINTED,9.5 X 30,,KGS,38,38,0,1,0,,
574,POSLIP,HM PRINTED,16 X 16,4647294,KGS,66.5,66.5,0,1,0,,
575,POSLIP,HM PRINTED,14 X 24,,KGS,145.5,145.5,0,1,0,,
576,POSLIP,HM PRINTED,7 X 9,,KGS,38.3,38.3,0,1,0,,
577,POSLIP,HM PRINTED,10 X 26,,KGS,66.7,66.7,0,1,0,,
578,POSLIP,HM PRINTED,16 X 18,,KGS,60.5,60.5,0,1,0,,
579,POSLIP,HM PRINTED,14 X 17,,KGS,110.9,110.9,0,1,0,,
580,POSLIP,HM PRINTED,9 X 18,,KGS,67,67,0,1,0,,
581,POSLIP,HM NATURAL PLAIN,10 X 17,,KGS,38.5,38.5,0,1,0,,
582,PREMIER ,LD BAG,20 X 18 X 100 MIC,40010607,KGS,10941,5000,5941,1,5941,ok,
583,RAICAM,VCI BAG,300 X 300,,KGS,35.4,35.4,0,1,0,,
584,RAICAM,VCI BAG,400 X 430 120 MIC,,KGS,677.56,677.56,0,1,0,ok,
585,RAICAM,VCI BAG,450 X 450,,KGS,92.1,,92.1,1,92.1,,
586,RAICAM,VCI NATURAL,10 X 16,,PCS,2270,2270,0,0.024,0,,
587,RAICAM,LD BAG,10 X 16 X 480,,KGS,691.14,691.14,0,1,0,ok,
588,RAICAM,VCI NAT PLAIN,350 X 350 480,,KGS,158.74,158.74,0,1,0,,
589,RAICAM,LD BAG,6 X 10 120,,KGS,1339.72,1320.72,19,,,,
590,RAICAM,VCI NAT PRINT,17 X 5 X 5 X 26 X 480,,KGS,104.6,,104.6,,,,
591,REVENT,VCI BAG,7 X 15 X 300,PKZZVCI000000010,PCS,69800,40050,29750,0.01021,303.7475,ok,
592,REVENT,VCI BAG,4 x 9 X 300,PKZZVCI000000011,PCS,450500,398650,51850,0.003461,179.45285,ok,
593,REVENT,VCI BLUE PRINT,6 x 12 X 300,PKZZVCI000000009,PCS,58575,31025,27550,0.001,27.55,ok,
594,REVENT,VCI BLUE PRINT,6 X 13 X 300,,PCS,42310,22000,20310,,,,
594,REVENT,VCI BAG ,130 X 450,,PCS,6000,6000,0,0.0008,0,ok,
595,REVENT,LD BAG,145 X 325,4645 pcs. dump,PCS,4645,,4645,0.006,27.87,,
596,REVENT,VCI BLUE PRINT BAG,14 X 16 X 220,PKZZVCI0000007,PCS,142210,142200,10,0.015,0.15,ok,
597,RICO,VCI BAG,600 X ( 2 X 200 ) X 600,PM000101,PCS,1200,1200,0,0.018,0,ok,
598,RICO,VCI BAG,180 X 200 80 MIC,PM000005,PCS,111210,111210,0,0.0005,0,ok,
599,RICO,VCI BAG,390 X 165 X 165 X 550,,PCS,4400,,4400,0.0066,29.04,ok,
600,RICO,VCI BAG,300 X 170,PM000144,PCS,7572,,7572,0.0007,5.3004,ok,
601,RICO,VCI BAG,140 X 120 80 MIC,PM000074,PCS,48200,25000,23200,0.002,46.4,ok,
602,RICO,VCI BAG,260 X 430 X 80 MIC,PM000052,PCS,35385,7000,28385,0.017874,507.35349,ok,
603,RICO,VCI BAG BLUE PRINTED,440 X 165 X 165 X 520,PM000009,PCS,7390,2100,5290,0.01,52.9,ok,
604,RICO,VCI BAG BLUE PRINTED,285 X 385 X 320,PM000008,PCS,12000,6600,5400,0.001649,8.9046,,
605,ROLON,LD BAG,7 X 7.5,dump,PCS,60000,,60000,0.001,60,,
606,ROOP,VCI BAG,480 X 520 X 100,PI07000016,PCS,15765,9572,6193,0.0037,22.9141,ok,
607,ROOP,VCI BAG,1120 x 720 x 1400,,PCS,50,,50,,,,
608,ROOP,BLUE PLAIN,340 X 430 X 400,,KGS,321.68,321.68,0,,,,
609,SATYAM,VCI BLUE PRINT BAG,8 X 10 X 240,,PCS,225270,175505,49765,0.00613,305.05945,,
610,SETCO,TML,16 X 18 75 MIC,,PCS,69765,57415,12350,0.027367,337.98245,,
,SETCO,TML,14 X 16 X 300,,PCS,17965,7500,10465,,,,
611,SETCO,VCI BAG,16 X 18 X 75,P-PB-00000SAVCL006-00,PCS,25612,14700,10912,0.004,43.648,ok,
612,SETCO,VCI BAG,12 X 12 75 MIC,P-PB-00000SAVCL003-00,PCS,59220,37250,21970,0.013,0,ok,
613,SETCO,VCI BAG,24 X 26 X 80,P-PB-00000SAVCL013-00,PCS,32716,27083,5633,0.062,349.246,ok,
614,SETCO,VCI BAG,14 X 16 X 75,P-PB-00000SAVCL005-00,PCS,34830,18000,16830,0.021,353.43,ok,
615,SETCO,VCI BAG,20 X 20 75 MIC,P-PB-00000SAVCL008-00,PCS,79670,72200,7470,0.036,268.92,ok,
616,SETCO,VCI BAG,6 X 8 X 300,P-PB-00000SAVCL001-00,PCS,28655,15200,13455,0.001,13.455,ok,
617,SETCO,VCI BAG,430 X 180 X 180 X 720,,PCS,15087,10840,4247,,0,,
618,SHIVALIK,VCI BAG,11 X 11 120 MIC,,KGS,1026.15,1000.75,25.4,1,25.4,ok,
619,SHIVALIK,VCI BAG,14 X 14 120 MIC,,KGS,0,0,0,1,0,ok,
620,SHIVALIK,VCI BAG,7 X 11 120 MIC,,KGS,50.1,50.1,0,1,0,,
621,SHREE GANESH,VCI BAG,8.75 X 11,DUMP,PCS,1234,1234,0,0.01,0,ok,
622,SHRESTY,VCI BAG,12 X 15,,PCS,0,0,0,,0,,
623,SIGMA,LD BAG,4 X 5 50 MIC,,PCS,88000,88000,0,0.004,0,ok,
624,SIGMA,LD BAG,6 X 8 60 MIC,,PCS,382550,375150,7400,0.006,44.4,ok,
625,SIGMA,LD NAT AB,6 X 8,,PCS,32000,8000,24000,,,,
625,SIGMA,VCI BAG,9 X 12 X 600,,PCS,9500,9500,0,0.002,0,ok,
626,SMITH,VCI BAG BLUE ,4 X 6 80 MIC,,PCS,53000,53000,0,0.003,0,ok,
627,SMITH,VCI BAG,6 X 8 75 MIC,DUMP,PCS,1686,,1686,0.0044,7.4184,ok,
628,SMITH,VCI BAG,21 X 18,,KGS,391.7,391.7,0,1,0,,
629,SMITH,VCI BLUE BAG,21 X 18 75 MIC,,PCS,13960,13960,0,0.05,0,,
630,SMITH,VCI BLUE PLAIN,2 X 10 75 MIC,,PCS,0,0,0,0.002,0,,
631,SOCOMAC,LD BAG,170 X 180 100 MIC,9901111,PCS,25000,,25000,0.004,100,ok,
633,SOCOMAC,LD BAG,120 X 450,,PCS,5621,,5621,0.008,44.968,ok,
,SOCOMAC,LD BAG,100 x 100 x 400,,PCS,10000,,10000,,,,
634,SOCOMAC,LD BAG,100 X 250,,PCS,11000,,11000,0.00076,8.36,ok,
635,SOCOMAC,LD BAG,280 X 450,,KGS,26,,26,1,26,ok,
636,SOCOMAC,LD BAG,150 X 200 100 MIC,,PCS,15600,,15600,0.004,62.4,ok,
637,SOCOMAC,LD BAG,600 X 700 100 MIC,9901120,PCS,5100,,5100,0.0078,39.78,ok,
638,SOCOMAC,LD BAG,210 X 350 100,,PCS,2400,,2400,0.013,31.2,ok,
639,SOCOMAC,LD BAG,250 x 350,,PCS,9540,,9540,0.008065,76.9401,,
640,SOCOMAC,LD BAG,170 X 250 100 MIC,,KGS,90,,90,1,90,,
641,SOCOMAC,LD BAG,120 X 600 100 MIC,,KGS,32.5,5,27.5,1,27.5,,
642,SOCOMAC,LD BAG,1087 X 250 X 250 X 1000,,PCS,45,,45,,0,,
643,SOCOMAC,LD BAG,1000 x 250 x 250 x 1080,,PCS,20,,20,,,,
644,SOCOMAC,LD BAG,1000 x 300 x 300 x 300,,PCS,50,50,0,,,,
645,SOCOMAC,LD BAG,250 X 450 100 MIC,9901117,PCS,4600,,4600,,0,ok,
646,SOCOMAC,LD BAG,100 X 270,,PCS,3278,,3278,0.005,16.39,ok,
647,SOCOMAC,VCI BLUE BAG,800 X 1000 100 MIC,,PCS,1400,0,1400,0.155,217,ok,
648,SOCOMAC,LD BAG,450 X 600 X 52,999319,PCS,480,,480,0.008,3.84,ok,
649,SOCOMAC,LD BAG,255 x 255 300,,KGS,347.7,,347.7,,,,
650,SRIRAM,VCI BAG,5.5 X 6.5 X 75,,PCS,18000,18000,0,0.001,0,,
651,SRIRAM,VCI BAG,4.5 X 6 X 75,,PCS,122525,98525,24000,0.004,96,ok,
652,SRIRAM,PINK ANTISTATICS,28 X 7 X 7 X 28 X 400,,PCS,11866.6,4356.6,7510,0.018,135.18,ok,
653,STORK RUBBER,VCI BAG,18 X 8 X 13,75 MIC,PCS,0,0,0,0.016,0,ok,
654,SUKHLAL,VCI BAG,3 X 4 100 MIC,,KGS,0,0,0,1,0,ok,
655,SUKHLAL,VCI BAG,4 X 12 100 MIC,,KGS,0,0,0,1,0,ok,
656,SUKHLAL,VCI BAG,12 X 16 100 MIC,,KGS,0,0,0,1,0,ok,
657,SUKHLAL,VCI BAG,2 X 3.5 100 MIC,,KGS,0,0,0,1,0,ok,
658,SUKHLAL,VCI BAG,8 X 12 100 MIC,,KGS,0,0,0,1,0,ok,
659,SUKHLAL,VCI BAG,12 X 17,DUMP,KGS,395,,395,1,395,,
660,SUNBEAM,VCI BAG,580 X 430 87.5 MIC,,PCS,81170,48430,32740,0.0039,127.686,ok,
661,SUNBEAM,VCI BAG,40 X 27 52 MIC,,PCS,0,0,0,0.015,0,,
662,SUNBEAM,VCI BAG,210 X 310 X 300,C15004024100,PCS,50445,50445,0,0.0096,0,ok,
663,SUNBEAM,LD PINK ANTISTATIC,210 X 310 75 MIC,C15004024100,PCS,52080,21000,31080,0.0096,298.368,ok,
664,SUNBEAM,LD PINK ANTISTATIC,150 X 280 75 MIC,C15004024000,PCS,39800,21800,18000,0.00625,112.5,ok,
665,SUNBEAM,VCI BAG,150 X 280 X 300,,PCS,38100,33100,5000,0.00592,29.6,ok,
666,SUPRAJIT,LD BAG,300 X 500 X 300,,PCS,53785,42690,11095,0.0023,25.5185,ok,
667,SUPRAJIT,LD BAG,300 X 385 X 300,DUMP,PCS,33060,31485,1575,0.0018,2.835,ok,
668,SWARAJ,LAMINATED POUCH,130 X 375,,KGS,156.9,156.9,0,1,0,,
669,SWARAJ,LAMINATED POUCH,90 X 130,,KGS,766.8,766.8,0,1,0,,
670,SWARAJ,LAMINATED POUCH,110 X 110,,KGS,909.2,648.5,260.7,1,260.7,,
,SWARAJ,LAMINATED POUCH,110 x 170,,KGS,225,225,0,,,,
,SWARAJ,LAMINATED POUCH,120 x 295,,KGS,346,346,0,,,,
,SWARAJ,LAMINATED POUCH,200 x 500,,KGS,150.7,150.7,0,,,,
,SWARAJ,LAMINATED POUCH,260 x 390,,KGS,128.1,128.1,0,,,,
671,SWARAJ,LAMINATED POUCH,260 X 270,,KGS,169.1,169.1,0,1,0,,
,SWARAJ,LAMINATED POUCH,220 x 235,,KGS,172.4,172.4,0,,,,
,SWARAJ,LAMINATED POUCH,160 x 210,,KGS,175.6,175.6,0,,,,
672,SWARAJ,LAMINATED POUCH,190 X 210,,KGS,204.4,204.4,0,1,0,,
673,SWARAJ,LAMINATED POUCH,360 X 370,,KGS,440.9,440.9,0,1,0,,
,SWARAJ,LAMINATED POUCH,375 X 375,,KGS,207.2,207.2,0,,,,
674,SWARAJ,SWARAJ LAMINATED ROLLS,117 MM,,KGS,123,123,0,1,0,,
675,SWARAJ,SWARAJ LAMINATED ROLLS,198 MM,,KGS,226.4,226.4,0,1,0,,
676,SWARAJ,SWARAJ LAMINATED ROLLS,200 MM,,KGS,420.2,,420.2,1,420.2,,
,SWARAJ,SWARAJ LAMINATED ROLLS,250 mm,,KGS,265.8,,265.8,,,,
677,SWARAJ,VCI NAT,190 X 200 X 400,,KGS,390.7,390.7,0,1,0,,
678,SWARAJ,VCI NAT,160 X 210 X 400,,KGS,422.6,422.6,0,1,0,,
,SWARAJ,VCI NAT,140 X 160 X 400,,KGS,730.6,730.6,0,,,,
,SWARAJ,VCI NAT,180 X 260 X 300,,KGS,345.7,345.7,0,,,,
,SWARAJ,VCI NAT,110 X 170 X 400,,KGS,664.5,664.5,0,,,,
679,TALBROS,LD BAG,18 X 18,,KGS,0,0,0,1,0,ok,
680,TALBROS,VCI BAG,150 X 150 X 320,773900000aA,PCS,333900,333900,0,0.003,0,ok,
,TALBROS,VCI NAT.PRINT BAG,150 X 150 X 480,,PCS,150740,150740,0,,,,
681,TALBROS,LD BAG,5 X 14 X 480,,PCS,4640,0,4640,,0,ok,
682,TALBROS,LD BAG,4.5 X 14 X 400,,PCS,50750,22900,27850,0.001,27.85,,
683,TALBROS,VCI BAG,5.5 X 20 X 480,7747000000A,PCS,26075,3600,22475,0.0017,38.2075,ok,
684,TALBROS,VCI BAG,44 X 39 400,,PCS,4500,0,4500,0.0271,121.95,ok,
685,TALBROS,VCI BAG,100 X 100,,PCS,0,0,0,0.00578,0,,
686,TALBROS,VCI BAG,740 X 1200 X 320,7725000000A,PCS,14890,13448,1442,0.137924,198.886408,,
687,TALBROS,VCI BAG,1.5 X 45 x 300,,PCS,73510,62501,11009,0.011,121.099,,
688,TALBROS,VCI SHEET,46 X 46 480,7723000000X,PCS,14462,14462,0,0.0334,0,ok,
689,TALBROS,VCI BAG,5 X 14 X 300,,PCS,24550,19900,4650,0.009,41.85,ok,
690,TALBROS,VCI YELLOW SHEET,4 X 6 X 480,,PCS,13000,,13000,0.025358,329.654,,
691,TALBROS,VCI YELLOW SHEET,340 X 280 X 480,,PCS,59140,59140,0,0.010908,0,,
692,TALBROS,VCI YELLOW SHEET,470 X 270 X 480,,PCS,58705,58705,0,0.01481,0,,
693,TALBROS,VCI YELLOW SHEET,410 X 170 X 480,,PCS,44080,42900,1180,0.01481,17.4758,,
,TALBROS,VCI BLUE PLAIN,80 X 585 X 400,,KGS,552.9,363.6,189.3,,,,
,TALBROS,VCI YELLOW PRINT,4.5 X 12 X 480,,PCS,20290,,20290,,,,
694,TEXA,HM PRINTED,9 X 125,,KGS,0,0,0,1,0,,
695,TOYOTA,LD BAG,10 X 11.5,DUMP,PCS,3200,,3200,0.018,57.6,ok,
696,UNITECH,VCI BLUE BAG,22 X 40 X 300,,KGS,696.7,605.7,91,1,91,ok,
697,UNITECH,VCI BAG,8 X 50,,PCS,1921,,1921,0.0063,12.1023,ok,
698,UNITECH,VCI BAG,8 X 1000 X 300,,KGS,0,0,0,1,0,,
699,UNITECH,VCI BAG,22 X 20 X 300,,KGS,402.2,366.4,35.8,1,35.8,ok,
700,UNITECH,VCI BAG,8 X 10 300,,PCS,14680,,14680,0.0013,19.084,ok,
701,UNITECH,VCI BAG,16 X 32,,KGS,200.7,200.7,0,1,0,ok,
702,UNITECH,VCI BAG,6 X 8 x 300,,PCS,22450,,22450,0.008,179.6,ok,
703,UNITECH,VCI BAG,12 X 20 75 MIC,,KGS,92.7,,92.7,1,92.7,ok,
704,UNITECH,VCI BAG,6 X 10 300,,PCS,45500,,45500,0.006182,281.281,ok,
705,UNITECH,VCI BAG,9 X 12 300,,PCS,5200,,5200,0.010174,52.9048,ok,
706,UNITECH,VCI BAG,4 X 38 ,,PCS,1143,,1143,0.02764,31.59252,ok,
707,UNITECH,VCI BAG,8 X 1650,,KGS,28.8,,28.8,1,28.8,ok,
708,UNITECH,VCI BLUE BAG,20 X 27 X 300,,PCS,20445,4130,16315,1,16315,,
709,UNITECH,VCI BAG,22 X 32 X 300,,KGS,313,313,0,1,0,,
710,UNITECH,VCI BAG,15 X 1330,,KGS,746.9,746.9,0,1,0,ok,
711,UNITECH,VCI BAG,16 X 1850,,KGS,453,453,0,1,0,ok,
712,UNITECH,VCI BLUE BAG,22 X 46 X 300,,KGS,965.1,901,64.1,1,64.1,ok,
713,UNITECH,VCI BAG ,8 X 22,,KGS,33.3,,33.3,1,33.3,,
714,UNITECH,VCI BAG YELLOW PRINTED ,310 X 690  100,,PCS,0,0,0,0.04019,0,,
715,UNITECH,VCI YELLOW PRINTED,275 X 450  100,,PCS,0,0,0,0.02325,0,,
716,UNITECH,VCI BAG,33 X 8 X 8 X 35,,KGS,2966,2725.6,240.4,1,240.4,ok,
717,UNITECH,VCI BAG,22 X 27 75 MIC,,KGS,929.7,775.5,154.2,1,154.2,,
718,UNITECH,VCI BLUE PRINTED   ,22 X 24 X 300,,KGS,393.5,393.5,0,1,0,ok,
719,UNITECH,VCI BAG,6 X 26 X 400,,PCS,1450,1000,450,,0,,
720,UNITECH,VCI BAG,4 X 24 X 400,,PCS,2400,1950,450,,0,,
721,UNITECH,VCI BAG,5 X 26 X 480,,PCS,565,0,565,,0,,
722,UNITECH,VCI BAG,3 X 20,,PCS,6347,,6347,,0,,
723,UNITECH,VCI BLUE PRINT,240 X 240 75 MIC,,PCS,18800,15000,3800,0.00886,33.668,,
724,UNITECH,"VCI BLUE PRINT",18 X 6 X 6 X 24 300,,KGS,492.7,260.2,232.5,1,232.5,,
725,NEW LIGHT,NATURAL NYLON SIDE SEAL POUCH,745 X 165 X 165,,KGS,1145,1145,0,,,,
726,VALVOCLUTCH,LD BAG,4 X 6 52 MIC,,PCS,145900,145300,600,0.004,2.4,,
727,VALVOCLUTCH,VCI BAG,280 X 280 75 MIC,,PCS,17495,,17495,0.0012,20.994,ok,
728,VALVOCLUTCH,LD BAG,6 X 9 X 52 MIC,,KGS,110,110,0,1,0,,
729,VE COMMERCIAL,LD EICHER BAG,5 X 6,PP0010,PCS,164240,158626,5614,0.005,28.07,ok,
730,VE COMMERCIAL,LD EICHER BAG,7 X 9,PP0008,PCS,60000,33793,26207,0.01,262.07,ok,
731,VE COMMERCIAL,LD EICHER BAG,5 X 45,PP0007,PCS,35000,25579,9421,0.0036,33.9156,ok,
732,VE COMMERCIAL,LD EICHER BAG,13 X 22,PP0014,PCS,21560,15874,5686,0.0045,25.587,ok,
733,VE COMMERCIAL,LD EICHER BAG,10 X 22,PP0013,PCS,28200,10000,18200,0.0035,63.7,ok,
734,VE COMMERCIAL,LD EICHER BAG,16 X 20,PP0002,PCS,222000,18058,203942,0.00051,104.01042,ok,
735,VE COMMERCIAL,LD EICHER BAG,11 X 13,PP0001,PCS,370400,350400,20000,0.00173,34.6,ok,
736,VE COMMERCIAL,LD EICHER BAG,10 X 16,PP0012,PCS,33639,31019,2620,0.025,65.5,ok,
737,VE COMMERCIAL,LD EICHER BAG,13 X 16,PP0011,PCS,46055,29365,16690,0.0033,55.077,ok,
738,VE COMMERCIAL,LD EICHER BAG,5 X 22,PP0005,PCS,61600,54258,7342,0.00133,9.76486,ok,
739,VE COMMERCIAL,LD EICHER BAG,5 X 32,PP0004,PCS,32100,24000,8100,0.0025,20.25,ok,
740,VE COMMERCIAL,LD EICHER BAG,8 X 13,PP0009,PCS,133350,128589,4761,0.0016,7.6176,ok,
741,VE COMMERCIAL,LD EICHER BAG,7 X 26,PP0006,PCS,86300,75316,10984,0.0029,31.8536,,
788,VE COMMERCIAL,LD BAG hm,16 X 22,PP0039,PCS,13950,5000,8950,0.005,44.75,,
742,VE COMMERCIAL,LD UD EICHER BAG,7 X 26,PP0006,PCS,16500,2105,14395,0.0029,41.7455,,
743,VE COMMERCIAL,LD UD EICHER BAG,5 X 45,PP0007,PCS,12000,526,11474,0.0036,41.3064,,
744,VE COMMERCIAL,LD UD EICHER BAG,7 X 9,PP0008,PCS,77500,15842,61658,0.001,61.658,,
745,VE COMMERCIAL,LD UD EICHER BAG,5 X 22,PP0005,PCS,13000,1053,11947,0.0017,20.3099,,
746,VE COMMERCIAL,LD BAG PLAIN ( POLY BAG ),5 X 6 60 MIC,PB0007,KGS,0,0,0,1,0,,
747,VE COMMERCIAL,LD BAG PLAIN ( POLY BAG ),7 X 9 60 MIC,PB0008,KGS,268.9,268.9,0,1,0,,
748,VE COMMERCIAL,LD BAG PLAIN ( POLY BAG ),8 X 13 60 MIC,PB0009,KGS,0,0,0,1,0,,
749,VE COMMERCIAL,LD BAG PLAIN ( POLY BAG ),10 X 16 60 MIC,PB0010,KGS,0,0,0,1,0,,
750,VE COMMERCIAL,LD BAG PLAIN ( POLY BAG ),13 X 22 60 MIC,PB0011,KGS,0,0,0,1,0,,
751,VE COMMERCIAL,PRONT LD ROLL,,PP00404,KGS,548.7,548.7,0,1,0,,
752,VE COMMERCIAL,LD BACK PLAIN ROLL,,PP00404,KGS,544.9,544.9,0,1,0,,
753,VE COMMERCIAL,PRINTED ROLL FRONT,,PP00402,KGS,545,545,0,,,,
754,VE COMMERCIAL,UNPRINTED ROLL BACK,,PP00402,KGS,531,531,0,,,,
755,VE COMMERCIAL,LD ROLL FRONT,,PP0401,KGS,28.8,28.8,0,,,,
756,VE COMMERCIAL,LD BACK ROLL,,PP0401,KGS,283,283,0,,,,
757,VE COMMERCIAL,LD ROLL FRONT,,PP0403,KGS,34.3,34.3,0,,,,
758,VE COMMERCIAL,LD BACK ROLL,,PP0403,KGS,272,272,0,,,,
759,VE COMMERCIAL,EICHER PLAIN,,PP002,KGS,74.5,74.5,0,,,,
760,VE COMMERCIAL,EICHER PLAIN,,PP005,KGS,64.9,64.9,0,,,,
761,VE COMMERCIAL,EICHER PLAIN,,PP001,PCS,22600,22600,0,,,,
762,VE COMMERCIAL,EICHER PLAIN,,PP0013,PCS,986,986,0,,,,
763,VE COMMERCIAL,EICHER PLAIN,,PP0011,PCS,1300,1300,0,,,,
769,VE COMMERCIAL,LD BAG PLAIN ( POLY BAG ),18 X 24 52 MIC,,KGS,29.88,29.88,0,1,0,,
770,VE COMMERCIAL,LD BAG,245 X 610,,PCS,12433,0,12433,0.0023,28.5959,,
771,VE COMMERCIAL,LD BAG,245 X 840,,PCS,6140,4000,2140,0.0032,6.848,,
772,VE COMMERCIAL,VCI BAG,6 X 16 100 MIC,D4416597,PCS,14700,12275,2425,0.0112,27.16,ok,
773,VE COMMERCIAL,VCI BAG BLUE PRINTED,14 X 14 X 540,D4416588,PCS,110011,24200,85811,0.0031,266.0141,,
774,VE COMMERCIAL,VCI BAG,10 X 12 X 360,,PCS,67850,3000,64850,0.0019,123.215,,
775,VE COMMERCIAL,VCI BAG,6 X 22  80 MIC,,PCS,24000,1175,22825,0.0021,47.9325,,
776,VE COMMERCIAL,VCI BAG,14 X 16,,PCS,2000,550,1450,0.0035,5.075,,
