ITEMCODE,ITEMNAME,IT_PARTNO,IT_PARTNAME,UOM
IC-1.ER.FGH.000265,JCBHCP385/HONEYCOMB PACKING/3850,JCBHCP385,HONEYCOMB PACKING,PCS
IC-1.ER.FGT.000266,RENEEPAP250/PAPER BUBBLE WRAP/ 250 Mtr.,RENEEPAP250,PAPER BUBBLE WRAP,PCS
IC-1.MIF.F.000267,ADVANDE10/DESICCANTS,ADVANDE10,DESICCANTS,PCS
IC-1.MIF.F.000268,ADVANDE11/DESICCANTS,ADVANDE11,DESICCANTS,PCS
IC-1.MIF.F.000269,ALPHADE200/DESICCANTS/200 Gram,ALPHADE200,DESICCANTS,PCS
IC-1.MIF.F.000270,AMTEKDE10/DESICCANTS/10  Gram,AMTEKDE10,DESICCANTS,PCS
IC-1.MIF.F.000271,AMTEKDE20/DESICCANTS/20 GRAM,AMTEKDE20,DESICCANTS,PCS
IC-1.MIF.F.000272,AMTEKDE50/DESICCANTS/50 GRAM,AMTEKDE50,DESICCANTS,PCS
IC-1.MIF.F.000273,ARGLLDE05/DESICCANTS/5 Gram,ARGLLDE05,DESICCANTS,PCS
IC-1.MIF.F.000274,ARGLLDE10/DESICCANTS/10 --GRAM,ARGLLDE10,DESICCANTS,PCS
IC-1.MIF.F.000275,ARKEYDE10/DESICCANTS/10 ---GRAM,ARKEYDE10,DESICCANTS,PCS
IC-1.MIF.F.000276,BAJAJDE150/DESICCANTS/150 GRAM,BAJAJDE150,DESICCANTS,PCS
IC-1.SLD.ARDFG.000022,MAHINABB20/AIR BUBBLE Bag/20 X 16 INCH,MAHINABB20,AIR BUBBLE Bag,PCS
IC-1.SLD.ARDFG.000023,MAHINABB66/AIR BUBBLE Bag/6 X 6 INCH,MAHINABB66,AIR BUBBLE Bag,PCS
IC-1.SLD.ARDFG.000024,RSTAHABB10/AIR BUBBLE Bag/1000 X 500 X 15 MM,RSTAHABB10,AIR BUBBLE Bag,PCS
IC-1.SLD.ARDFG.000025,RSTAHABB60/AIR BUBBLE Bag/600 X 600 X 25 MM,RSTAHABB60,AIR BUBBLE Bag,PCS
IC-1.SLD.ARDFG.000026,RSTAHABB62/AIR BUBBLE Bag/620 X 420 X 25 MM,RSTAHABB62,AIR BUBBLE Bag,PCS
IC-1.SLD.ARDFG.000027,RSTAHABB70/AIR BUBBLE Bag/700 X 700 X 25 MM,RSTAHABB70,AIR BUBBLE Bag,PCS
IC-1.SLD.ARDFG.000028,SIEMEABR/AIR BUBBLE ROLL,SIEMEABR,AIR BUBBLE ROLL,SQM
IC-1.SLD.ARDFG.000029,TOSEIAB80/AIR BUBBLE /1 X 80 mtr.,TOSEIAB80,AIR BUBBLE,PCS
IC-1.SLD.ARDFG.000030,VECOMABR10/AIR BUBBLE ROLL/Bubble Sheet Roll (1X100 Mtr.),VECOMABR10,AIR BUBBLE ROLL,KGS
IC-1.SLD.APDFG.000031,EMMFOAF40/AIRplus® V-Film/400 X 380 X 180 MM 28D SB,EMMFOAF40,AIRplus® V-Film,ROLL
IC-1.SLD.AAFGS.000032,DELPHAB10/ALUMINUM BAG/100 X 78 X 65 cm,DELPHAB10,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000033,FIBROAB113/ALUMINUM BAG/ 1130 X 730 X 600,FIBROAB113,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000034,MARZOAB/ALUMINUM BAG/QQ,MARZOAB,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000035,MARZOAB/ALUMINUM BAG/WW,MARZOAB,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000036,MARZOAB36/ALUMINUM BAG/ 36 X 28 X 30,MARZOAB36,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000037,MARZOAB60/ALUMINUM BAG/ 60 X 36 X 50,MARZOAB60,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000038,MARZOAB70/ALUMINUM BAG/ 70 X 60 X 60,MARZOAB70,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000039,PRAKRAB10/ALUMINUM BAG/10700 x 2600 x 2800 MM,PRAKRAB10,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000040,PRAKRAB26/ALUMINUM BAG/ 5900 x 2600 x 2650 MM,PRAKRAB26,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000041,PRAKRAB40/ALUMINUM BAG/ 4000 x 2600 x 2650 MM,PRAKRAB40,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000042,PRAKRAB50/ALUMINUM BAG/5000 x 2600 x 2650 MM,PRAKRAB50,ALUMINUM BAG,PCS
IC-1.BCB.BCB.000146,Cotton Bag /2250,,Cotton Bag,KGS
IC-1.BCB.BCB.000147,Cotton Bag /2850,,Cotton Bag,KGS
IC-1.BCB.BCB.000148,Cotton Bag /3170,,Cotton Bag,KGS
IC-1.BCB.BCB.000149,Cotton Bag /3850,,Cotton Bag,KGS
IC-1.SLD.CDTFG.000150,JCBCB2250/COTTON BAG,JCBCB2250,COTTON BAG,PCS
IC-1.SLD.CDTFG.000151,JCBCB2850/COTTON BAG,JCBCB2850,COTTON BAG,PCS
IC-1.SLD.CDTFG.000152,JCBCB3850/COTTON BAG,JCBCB3850,COTTON BAG,PCS
IC-1.SLD.CDTFG.000153,JCBCB3850G2/COTTON BAG,JCBCB3850G2,COTTON BAG,PCS
IC-1.SLD.CDTFG.000154,JCBCB3905/COTTON BAG,JCBCB3905,COTTON BAG,PCS
IC-1.RNR.RNR.000155,Cotton rope /Newar 40 mm,,Cotton rope,KGS
IC-1.RNR.RNR.000156,Cotton rope /Newar 40MM,,Cotton rope,KGS
IC-1.ODO.ODO.000157,Dewatering Fluid /DW-80,,Dewatering Fluid,KGS
IC-1.SGF.EEF.000158,DGSENFO/FOAM,DGSENFO,FOAM,PCS
IC-1.SGF.EEF.000159,DGSENFO1030/FOAM/Size.  - 1030 X 126 X 20 mm.,DGSENFO1030,FOAM,PCS
IC-1.SGF.EEF.000160,DGSENFO1325/FOAM/Size. : - 1325 X 166 X 20 mm.,DGSENFO1325,FOAM,PCS
IC-1.SGF.EEF.000161,DINEXFO45/FOAM/45 mm,DINEXFO45,FOAM,PCS
IC-1.SGF.EEF.000162,KOREAFO100/FOAM/Size :- 1000 X 100 X 50mm,KOREAFO100,FOAM,PCS
IC-1.SGF.EEF.000163,KORLOPU105/PU FOAM/ 105 X 105 X 30 mm,KORLOPU105,PU FOAM,PCS
IC-1.SGF.EEF.000164,KORLOPU125/PU FOAM/ 125 X 125 X 30 mm,KORLOPU125,PU FOAM,SQM
IC-1.SGF.EEF.000165,KORLOPU67/PU FOAM/ 67 X 67 X 30,KORLOPU67,PU FOAM,PCS
IC-1.SGF.EEF.000166,KORLOPU90/PU FOAM/ 90 X 90 X 30 mm,KORLOPU90,PU FOAM,ROLL
IC-1.SGF.EEF.000167,MARUTIEF/EP FOAM,MARUTIEF,EP FOAM,PCS
IC-1.MIF.F.000277,BAJAJDE266/DESICCANTS/266 gsm,BAJAJDE266,DESICCANTS,PCS
IC-1.MIF.F.000278,BARATDC125/DESICCANTS/125- Gram,BARATDC125,DESICCANTS,PCS
IC-1.MIF.F.000279,CHANDDE100/DESICCANTS/100 -Gram,CHANDDE100,DESICCANTS,PCS
IC-1.MIF.F.000280,CHANDDE101/DESICCANTS/100 Gram,CHANDDE101,DESICCANTS,PCS
IC-1.MIF.F.000281,CHENNDC67/DESICCANTS/10 --- gram,CHENNDC67,DESICCANTS,PCS
IC-1.MIF.F.000282,CIKAUPRO70/PROPASEC DESICCANT/70 gram,CIKAUPRO70,PROPASEC DESICCANT,PCS
IC-1.MIF.F.000283,DUROSDC10/DESICCANTS/10- gram,DUROSDC10,DESICCANTS,PCS
IC-1.MIF.F.000284,DYNAMDC10/DESICCANTS/Size :- 10 Gram,DYNAMDC10,DESICCANTS,PCS
IC-1.MIF.F.000285,EATONDC25/DESICCANTS/ 250 Gm,EATONDC25,DESICCANTS,PCS
IC-1.MIF.F.000286,FORCEDC35/DESICCANTS/35 gram,FORCEDC35,DESICCANTS,PCS
IC-1.MIF.F.000287,HOLISDC100/DESICCANTS/100 Gram Pouch,HOLISDC100,DESICCANTS,PCS
IC-1.MIF.F.000288,HOLISDC25/DESICCANTS/VCI 25 - 5 Gram Pouch,HOLISDC25,DESICCANTS,PCS
IC-1.MIF.F.000289,HONDADC100/DESICCANTS/100 gram,HONDADC100,DESICCANTS,PCS
IC-1.MIF.F.000290,HONDADC175/DESICCANTS/175 gms,HONDADC175,DESICCANTS,PCS
IC-1.MIF.F.000291,HONDADC50/DESICCANTS/50 gram,HONDADC50,DESICCANTS,KGS
IC-1.MIF.F.000292,HONDADC500/DESICCANTS/500gm,HONDADC500,DESICCANTS,PCS
IC-1.MIF.F.000293,KANHHDC05/DESICCANTS/size :- 5 gram,KANHHDC05,DESICCANTS,PCS
IC-1.MIF.F.000294,KAPILDC10/DESICCANTS/10 gram,KAPILDC10,DESICCANTS,PCS
IC-1.MIF.F.000295,MAHINDC06/DESICCANTS/6 gram,MAHINDC06,DESICCANTS,PCS
IC-1.MIF.F.000296,MARKINDC20/DESICCANTS/VCI Emitter 20 gram,MARKINDC20,DESICCANTS,PCS
IC-1.MIF.F.000297,MELSTDC08/DESICCANTS/8 gram,MELSTDC08,DESICCANTS,PCS
IC-1.SLD.AAFGS.000043,PRAKRAB59/ALUMINUM BAG/ 5900 x 1550 x 2650 MM,PRAKRAB59,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000044,PRAKRAB80/ALUMINUM BAG/ 8000 x 2600 x 2800 MM,PRAKRAB80,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000045,PRAKRAB89/ALUMINUM BAG/8900 X 2600 X 2800 mm,PRAKRAB89,ALUMINUM BAG,PCS
IC-1.SLD.AAFGS.000046,SHREEAB11/ALUMINUM Bag/900 x 1100 x 400 MM,SHREEAB11,ALUMINUM Bag,PCS
IC-1.SLD.AAFGS.000047,SHREEAB13/ALUMINUM Bag/2200 x 1300 x 900 MM,SHREEAB13,ALUMINUM Bag,PCS
IC-1.SLD.AAFGS.000048,SHREEAB40/ALUMINUM Bag/300 x 400 x 220 MM,SHREEAB40,ALUMINUM Bag,PCS
IC-1.SLD.AAFGS.000049,SHREEAB60/ALUMINUM Bag/600 x 600 x 310 MM,SHREEAB60,ALUMINUM Bag,PCS
IC-1.SLD.AAFGS.000050,SHREEAB70/ALUMINUM Bag/600 x 700 x 350 MM,SHREEAB70,ALUMINUM Bag,PCS
IC-1.SLD.AAFGS.000051,SHREEAB90/ALUMINUM Bag/2200 x 900 x 900 MM,SHREEAB90,ALUMINUM Bag,PCS
IC-1.SLD.AAFGS.000052,SIEMENAB/ALUMINUM Bag,SIEMENAB,ALUMINUM Bag,SQM
IC-1.RABF.RABF.000053,VCI - Aluminium - Barrier - Silver -  Printed (ok)/150 MICRON/1200 MM X 200 MTRS,,VCI - Aluminium - Barrier - Silver -  Printed (ok),KGS
IC-1.RABF.RABF.000054,VCI - Aluminium - Barrier - Silver -  Un Printed/150 MICRON/1250 MM,,VCI - Aluminium - Barrier - Silver -  Un Printed,KGS
IC-1.RABF.RABF.000055,VCI - Aluminium - Barrier - Silver -  Un Printed ®/150 MICRON/100 MM X 500 MTRS,,VCI - Aluminium - Barrier - Silver -  Un Printed ®,KGS
IC-1.SLD.ASDFG.000056,CRESTABR12/ALUMINUM BARRIER FOIL/1200 mm 150 Mic.,CRESTABR12,ALUMINUM BARRIER FOIL,KGS
IC-1.SLD.ASDFG.000057,CRESTABR28/ALUMINUM BARRIER FOIL/ 1.25 X 280 Mtr.,CRESTABR28,ALUMINUM BARRIER FOIL,SQM
IC-1.SLD.ASDFG.000058,"CRESTABR40/ALUMINUM BARRIER FOIL/40"" 150 GSM",CRESTABR40,ALUMINUM BARRIER FOIL,KGS
IC-1.SLD.ASDFG.000059,FOCUSABR24./ALUMINUM BARRIER FOIL/1.25 X 240 Mtr,FOCUSABR24.,ALUMINUM BARRIER FOIL,PCS
IC-1.SLD.ASDFG.000060,"PRONKABR25/ALUMINUM BARRIER FOIL/ 1 Mtr X 250 Mtr, 150 Micron",PRONKABR25,ALUMINUM BARRIER FOIL,SQM
IC-1.SLD.ASDFG.000061,SHREEABF25/ALUMINUM BARRIER FOIL/ 1 Mtr X 250 Mtr,SHREEABF25,ALUMINUM BARRIER FOIL,ROLL
IC-1.SGF.EEF.000168,MARUTIEF100/EP FOAM/100 X 40 X 40 mm,MARUTIEF100,EP FOAM,PCS
IC-1.SGF.EEF.000169,MARUTIEF110/EP FOAM/500 X 110 mm,MARUTIEF110,EP FOAM,PCS
IC-1.SGF.EEF.000170,MARUTIEF140/EP FOAM/500 X 140 mm,MARUTIEF140,EP FOAM,SET
IC-1.SGF.EEF.000171,MARUTIEF20/EP FOAM/300 X 200 mm,MARUTIEF20,EP FOAM,PCS
IC-1.SGF.EEF.000172,MARUTIEF200/EVA FOAM/200 X 50 mm,MARUTIEF200,EVA FOAM,PCS
IC-1.SGF.EEF.000173,MARUTIEF30/EP FOAM/300 X 50 mm,MARUTIEF30,EP FOAM,PCS
IC-1.SGF.EEF.000174,MARUTIEF330/EP FOAM/330 X 20 mm,MARUTIEF330,EP FOAM,PCS
IC-1.SGF.EEF.000175,MARUTIEF35/EP FOAM/50 X 35 X 30 mm,MARUTIEF35,EP FOAM,PCS
IC-1.SGF.EEF.000176,MARUTIEF40/EP FOAM/40 x 70 x 30 mm,MARUTIEF40,EP FOAM,PCS
IC-1.SGF.EEF.000177,MARUTIEF50/EP FOAM/50 X 35 X 30 mm,MARUTIEF50,EP FOAM,PCS
IC-1.SGF.EEF.000178,MARUTIEF500/EP FOAM/500 X 100 mm,MARUTIEF500,EP FOAM,PCS
IC-1.SGF.EEF.000179,MARUTIEF62/EP FOAM/103 X 62 X 40 mm,MARUTIEF62,EP FOAM,PCS
IC-1.SGF.EEF.000180,MARUTIEF70/EP FOAM/70 X 40 X 10 mm,MARUTIEF70,EP FOAM,PCS
IC-1.SGF.EEF.000181,MARUTIEF80/EP FOAM/500 X 80 mm,MARUTIEF80,EP FOAM,PCS
IC-1.SGF.EEF.000182,MARUTIFO396/FOAM/39.6 X 4 X 4 cm,MARUTIFO396,FOAM,PCS
IC-1.SGF.EEF.000183,NISSAFO70/FOAM/Size : - 1000 X 70 X 15,NISSAFO70,FOAM,PCS
IC-1.SGF.EEF.000185,RSTAHFO150/FOAM/1000 X 500 X 150 MM,RSTAHFO150,FOAM,PCS
IC-1.SGF.EEF.000186,RSTAHFO230/FOAM/100 X 50 X 230 mm,RSTAHFO230,FOAM,PCS
IC-1.SGF.EEF.000187,RSTAHFO500/FOAM/1000 X 500 X 15 mm,RSTAHFO500,FOAM,PCS
IC-1.SGF.EEF.000188,TONGLFO135/FOAM/34 x 70 - 1350 Lg,TONGLFO135,FOAM,PCS
IC-1.SGF.EEF.000189,TONGLFO145/FOAM/34 x 70 - 1450 Lg,TONGLFO145,FOAM,PCS
IC-1.MIF.F.000298,PRONKDC50/DESICCANTS/SILICA GEL DESSICANT(1BAG=50GM),PRONKDC50,DESICCANTS,PCS
IC-1.MIF.F.000299,QHTALDC10/CLAY DESICCANTS 10 10 GRAMS,QHTALDC10,CLAY DESICCANTS 10 10 GRAMS,PCS
IC-1.MIF.F.000300,QHTALPRO/PROPASEC DESICCANT,QHTALPRO,PROPASEC DESICCANT,SQM
IC-1.MIF.F.000301,RAICADC20/DESICCANTS,RAICADC20,DESICCANTS,PCS
IC-1.MIF.F.000302,RENAUDC20/DESICCANTS/BE DRY CACL 2 200 Grams Desiccants,RENAUDC20,DESICCANTS,PCS
IC-1.MIF.F.000303,RENAUDC67/DESICCANTS/Clay Desiccant 67 Grams,RENAUDC67,DESICCANTS,PCS
IC-1.MIF.F.000304,RENAUDC70/DESICCANTS/CLAY 70 GRAMS,RENAUDC70,DESICCANTS,KGS
IC-1.MIF.F.000305,RESEADC50/DESICCANTS/( PC-M-50 Gram ) C Dry,RESEADC50,DESICCANTS,PCS
IC-1.MIF.F.000306,"REVENDC10/DESICCANTS/DEHUMIDIFIRE DAUBRITE-1, ( 10 Gram )",REVENDC10,DESICCANTS,PCS
IC-1.MIF.F.000307,SETCODC06 /DESICCANTS/6gram,SETCODC06,DESICCANTS,PCS
IC-1.MIF.F.000308,SKYTEDC10/DESICCANTS/DESICCANT 10 Grams C Dry,SKYTEDC10,DESICCANTS,PCS
IC-1.MIF.F.000309,SONABDC10/DESICCANTS,SONABDC10,DESICCANTS,PCS
IC-1.MIF.F.000310,SUNBEPRO05/PROPASEC DESICCANT/POUCH(5gm POUCH),SUNBEPRO05,PROPASEC DESICCANT,KGS
IC-1.MIF.F.000311,TALBRDC05/DESICCANTS/5 Gram,TALBRDC05,DESICCANTS,PCS
IC-1.MIF.F.000312,TALBRDC10/DESICCANTS/10 GM,TALBRDC10,DESICCANTS,PCS
IC-1.MIF.F.000313,TALBRDC100/DESICCANTS/10 ---Gram,TALBRDC100,DESICCANTS,PCS
IC-1.MIF.F.000314,TALBRDC125/DESICCANTS/125 GM,TALBRDC125,DESICCANTS,PCS
IC-1.MIF.F.000315,TRADEDE10/DESICCANTS/10 (Gram),TRADEDE10,DESICCANTS,PCS
IC-1.MIF.F.000316,TRADEDE15/DESICCANTS/15 Gram,TRADEDE15,DESICCANTS,PCS
IC-1.MIF.F.000317,UNITEDE08/DESICCANTS VCI EMITTER/ 8 grams,UNITEDE08,DESICCANTS VCI EMITTER,PCS
IC-1.MIF.F.000318,UNITEDE125/DESICCANTS/125 Gram,UNITEDE125,DESICCANTS,PCS
IC-1.SLD.ASDFG.000062,VIRALABF10/ALUMINUM BARRIER FOIL/ 1000MM X 150 Gsm,VIRALABF10,ALUMINUM BARRIER FOIL,KGS
IC-1.SLD.ASDFG.000063,VIRALABF15/ALUMINUM BARRIER FOIL/ 1.2 Mtr X 150 Gsm,VIRALABF15,ALUMINUM BARRIER FOIL,KGS
IC-1.SLD.ASDFG.000064,VRPACABF25/ALUMINUM BARRIER FOIL/ 01 Mtr X 250  (Mtr),VRPACABF25,ALUMINUM BARRIER FOIL,ROLL
IC-1.RAN.RAN.000065,Angle Board/ 875 x 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000066,Angle Board/1550  X 75 X 75  X 5  MM,,Angle Board,MTR
IC-1.RAN.RAN.000067,Angle Board/2250 X  75  X 75  X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000068,Angle Board / 1010 x 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000069,Angle Board / 1150 x 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000070,Angle Board / 1350 x 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000071,Angle Board / 910 x 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000072,Angle Board /1080  X 75 X 75 X  5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000073,Angle Board /1100 X 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000074,Angle Board /1170 x 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000075,Angle Board /1340 X 75 X 75  X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000076,Angle Board /1650 X75 X 75 X  5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000077,Angle Board /1750 X   75 X  75 X  5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000078,Angle Board /1850 X 75 X 75X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000079,Angle Board /1925 X 75 X  75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000080,Angle Board /250   X  75 X 75  X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000081,Angle Board /2750 X 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000082,Angle Board /2850 X 75  X 75 X 5 MM,,Angle Board,MTR
IC-1.SGF.EEF.000190,TONGLFO1450/FOAM/34 x 60 - 1450,TONGLFO1450,FOAM,PCS
IC-1.SGF.EEF.000191,TONGLFO210/FOAM/34 x 60 - 2100 Lg,TONGLFO210,FOAM,PCS
IC-1.SGF.EEF.000192,TONGLFO215/FOAM/34 x 70 - 2150 Lg,TONGLFO215,FOAM,PCS
IC-1.SGF.EEF.000193,TONGLFO34/FOAM/34 x 60 - 2150 Lg,TONGLFO34,FOAM,PCS
IC-1.SGF.EEF.000194,TONGLFO347/FOAM/34 x 70 - 2100 Lg,TONGLFO347,FOAM,PCS
IC-1.SGF.EEF.000195,TONGLFO60/FOAM/34 x 60 - 1350 Lg,TONGLFO60,FOAM,PCS
IC-1.SGF.EEF.000196,VALEOFO/FOAM/FF,VALEOFO,FOAM,PCS
IC-1.SGF.EEF.000197,VALEOFO/FOAM,VALEOFO,FOAM,PCS
IC-1.SGF.EEF.000198,VALEOFO55/FOAM/70 X 55 X 30 MM,VALEOFO55,FOAM,PCS
IC-1.SGF.EEF.000199,VALEOFO65/FOAM/80 X 65 X 30 MM,VALEOFO65,FOAM,PCS
IC-1.SGF.EEF.000200,VALEOFO70/FOAM/70 X 70 X 30,VALEOFO70,FOAM,PCS
IC-1.FEP.FEP.000201,EPE Corner/ 375 X 350 X 140 X 25 MM,,EPE Corner,PCS
IC-1.FEP.FEP.000202,EPE Corner/ 50 X  35 X 30  MM,,EPE Corner,PCS
IC-1.FEP.FEP.000203,EPE Corner/103 X 40 X 60 MM,,EPE Corner,PCS
IC-1.FEP.FEP.000204,EPE Corner/200 X 50 X 40 MM (250 MM X 40),,EPE Corner,PCS
IC-1.FEP.FEP.000205,EPE Corner/48 INCH,,EPE Corner,PCS
IC-1.FEP.FEP.000206,EPE Corner/50  MM,,EPE Corner,PCS
IC-1.FEP.FEP.000207,EPE Corner/500  X 80  X 40 MM,,EPE Corner,PCS
IC-1.FEP.FEP.000208,EPE Foam/375 X 350 X 280 X 25 MM,,EPE Foam,PCS
IC-1.FEP.FEP.000209,EPE Foam/40 INCH,,EPE Foam,PCS
IC-1.FEP.FEP.000210,EPE Foam/46 INCH,,EPE Foam,PCS
IC-1.FEP.FEP.000211,EPE Foam/55 INCH,,EPE Foam,PCS
IC-1.MIF.F.000319,VECOMDE20/DESICCANTS/Silica Gel Zorbit 20 Gms,VECOMDE20,DESICCANTS,PCS
IC-1.MIF.F.000320,WAHISDE10/DESICCANTS/10 - GRAM,WAHISDE10,DESICCANTS,PCS
IC-1.MIF.F.000321,YUSENPRO125/PROPASEC DESICCANT/125 Gram,YUSENPRO125,PROPASEC DESICCANT,PCS
IC-1.DIND.DIND.000322,BE - Dry - Clay Desiccant (Powder)/100 GRAMS,,BE - Dry - Clay Desiccant (Powder),PCS
IC-1.DIND.DIND.000323,C - Dry - Clay Desiccant /10 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000324,C - Dry - Clay Desiccant /100 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000325,C - Dry - Clay Desiccant /142 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000326,C - Dry - Clay Desiccant /15 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000327,C - Dry - Clay Desiccant NORMAL/20 GRAMS,,C - Dry - Clay Desiccant NORMAL,PCS
IC-1.DIND.DIND.000328,C - Dry - Clay Desiccant /200 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000329,C - Dry - Clay Desiccant /250 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000330,C - Dry - Clay Desiccant /283 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000331,C - Dry - Clay Desiccant /35 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000332,C - Dry - Clay Desiccant /5 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000333,C - Dry - Clay Desiccant /50 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000334,C - Dry - Clay Desiccant /500 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000335,C - Dry - Clay Desiccant /6 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000336,C - Dry - Clay Desiccant /8 GRAMS,,C - Dry - Clay Desiccant,PCS
IC-1.DIND.DIND.000337,Sani Dry - Desiccant 60 x 2/125 GRAMS,,Sani Dry - Desiccant 60 x 2,PCS
IC-1.DIND.DIND.000338,Silica Gel - Desiccant /10 GRAMS,,Silica Gel - Desiccant,PCS
IC-1.DIND.DIND.000339,Silica Gel - Desiccant /5 GRAMS,,Silica Gel - Desiccant,PCS
IC-1.RAN.RAN.000083,Angle Board /3000 X75  X 75 X   5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000084,Angle Board /750  X 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000085,Angle Board /800  X 75  X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000086,Angle Board /820/825  X 75 X 75 X 5 MM,,Angle Board,MTR
IC-1.RAN.RAN.000087,Angle Board /970   X   75 X  75 X 5 MM,,Angle Board,MTR
IC-1.ORF.RCCFR.000088,CAPARAB/ANGLE BOARD,CAPARAB,ANGLE BOARD,PCS
IC-1.ORF.RCCFR.000089,KRYSTAB50/ANGLE BOARD/ 50MM X 50MM X 3000 M,KRYSTAB50,ANGLE BOARD,PCS
IC-1.ORF.RCCFR.000090,MARUTIAB50/ANGLE BOARD/50 X 50 X 5 mm,MARUTIAB50,ANGLE BOARD,PCS
IC-1.TTB.TTB.000091,BOPP TAPE/Black tape,,BOPP TAPE,ROLL
IC-1.TTB.TTB.000092,BOPP TAPE/Brown tape 2 inch,,BOPP TAPE,ROLL
IC-1.TTB.TTB.000093,BOPP TAPE/Printed maruti,,BOPP TAPE,ROLL
IC-1.TTB.TTB.000094,BOPP TAPE/Transparent 3 inch,,BOPP TAPE,ROLL
IC-1.TTB.TTB.000095,BOPP TAPE/Yellow 2 inch,,BOPP TAPE,ROLL
IC-1.FGST.TBFGS.000096,"PREETBT02/BOPP TAPE/ 2""",PREETBT02,BOPP TAPE,ROLL
IC-1.FGST.TBFGS.000097,VECOMBT60/BOPP TAPE/BOPP Tape 60mmx65 mtr,VECOMBT60,BOPP TAPE,PCS
IC-1.RCNR.RCNR.000098,Nail /1.5 inch (2138),,Nail,KGS
IC-1.RCNR.RCNR.000099,Nail /2 inch,,Nail,KGS
IC-1.RCNR.RCNR.000100,Nail /2.5 inch (2565),,Nail,KGS
IC-1.RCNR.RCNR.000101,Nail /3 inch (2875),,Nail,KGS
IC-1.DRW.E.000102,INDICCP/Commercial Ply/Ply Top Cover.,INDICCP,Commercial Ply,PCS
IC-1.RB.RB.000103,Corrugated  Box - Fuel Pump  - Printed/110  x  70  x  55 MM,,Corrugated  Box - Fuel Pump  - Printed,PCS
IC-1.RB.RB.000104,Corrugated Box -   Printed/23    x 22   x 18  INCH,,Corrugated Box -   Printed,PCS
IC-1.SGF.SSF.000212,MARUTIEC110/EPE CORNER/375 X 350 X 110 mm,MARUTIEC110,EPE CORNER,PCS
IC-1.SGF.SSF.000213,MARUTIEC130/EPE CORNER/375 X 350 X 130 mm,MARUTIEC130,EPE CORNER,PCS
IC-1.SGF.SSF.000214,MARUTIEC140/EPE CORNER/375 X 350 X 140 mm,MARUTIEC140,EPE CORNER,PCS
IC-1.SGF.SSF.000215,MARUTIEC160/EPE CORNER/375 X 350 X 160 mm,MARUTIEC160,EPE CORNER,PCS
