ITEMCODE,ITEMNAME,IT_PARTNO,IT_PARTNAME,UOM
IC-1.VBDS.VBDS.004844,RANEMVB13/VCI Bag/5 X 13 SFG,RANEMVB13,VCI Bag,PCS
IC-1.VBDS.VBDS.004845,RANEMVB24/VCI Bag/2400 x 800 x 850 SFG,RANEMVB24,VCI Bag,PCS
IC-1.VBDS.VBDS.004846,EMMBRVB96/VCI Bag/965 X 765 X 535 SFG,EMMBRVB96,VCI Bag,PCS
IC-1.VBDS.VBDS.004847,EMMFOVB97/VCI Bag/9 X 7 INCH SFG,EMMFOVB97,VCI Bag,PCS
IC-1.VBDS.VBDS.004848,GREENVB11/VCI Bag/1100 X 950 X 1100 SFG,GREENVB11,VCI Bag,PCS
IC-1.VBDS.VBDS.004849,GREENVB12/VCI Bag/1170 X 800 X 1200 SFG,GREENVB12,VCI Bag,PCS
IC-1.VBDS.VBDS.004850,GREENVB54/VCI Bag/540 X 385 X 308 SFG,GREENVB54,VCI Bag,PCS
IC-1.VBDS.VBDS.004851,GREENVB80/VCI Bag/800 X 600 X 700 87.5 Micron SFG,GREENVB80,VCI Bag,PCS
IC-1.VBDS.VBDS.004852,"JINENVB10/VCI Bag/8 X 10"" SFG",JINENVB10,VCI Bag,PCS
IC-1.VBDS.VBDS.004853,DSENGVB12/VCI Bag/12 X 12 SFG,DSENGVB12,VCI Bag,PCS
IC-1.VBDS.VBDS.004854,DSENGVB45/VCI Bag/45 X 35 X 45 SFG,DSENGVB45,VCI Bag,PCS
IC-1.VBDS.VBDS.004855,RANENVB49/VCI Bag/4 X 9 SFG,RANENVB49,VCI Bag,PCS
IC-1.VBDS.VBDS.004856,ENPAYVB46/VCI Bag/46 X 34 X 68 INCH SFG,ENPAYVB46,VCI Bag,PCS
IC-1.VBDS.VBDS.004857,ENPAYVB49/VCI Bag/49 X 49 X 71 INCH SFG,ENPAYVB49,VCI Bag,PCS
IC-1.VBDS.VBDS.004858,RENAUVB13/VCI Bag/1300 X 300 X 270 SFG,RENAUVB13,VCI Bag,PCS
IC-1.VBDS.VBDS.004859,RENAUVB16/VCI Bag/1650 X 300 X 270 SFG,RENAUVB16,VCI Bag,PCS
IC-1.VBDS.VBDS.004860,RENAUVB37/VCI Bag/3700 X 1200 X 1000 SFG,RENAUVB37,VCI Bag,PCS
IC-1.VBDS.VBDS.004861,"RENAUVB40/VCI Bag/400 X 250 X 450 mm, 120 Microns SFG",RENAUVB40,VCI Bag,PCS
IC-1.VBDS.VBDS.004862,RENAUVB85/VCI Bag/850 X 300 X 270 SFG,RENAUVB85,VCI Bag,PCS
IC-1.VBDS.VBDS.004927,UNITEVB61/VCI Bag/6 x 10 inch SFG,UNITEVB61,VCI Bag,PCS
IC-1.VBDS.VBDS.004928,UNITEVB67/VCI Bag/10 x 67 100 Micron SFG,UNITEVB67,VCI Bag,PCS
IC-1.VBDS.VBDS.004929,UNITEVB68/VCI Bag/6 x 8 inch SFG,UNITEVB68,VCI Bag,PCS
IC-1.VBDS.VBDS.004930,UNITEVB74/VCI Bag/7 x 45 100 Micron SFG,UNITEVB74,VCI Bag,PCS
IC-1.VBDS.VBDS.004931,UNITEVB76/VCI Bag/760 x 550 x 200 SFG,UNITEVB76,VCI Bag,PCS
IC-1.VBDS.VBDS.004932,UNITEVB81/VCI Bag/8 x 10 inch SFG,UNITEVB81,VCI Bag,PCS
IC-1.VBDS.VBDS.004933,UNITEVB85/VCI Bag/8 x 50 100 Micron SFG,UNITEVB85,VCI Bag,PCS
IC-1.VBDS.VBDS.004934,UNITEVB96/VCI Bag/9 x 60 100 Micron SFG,UNITEVB96,VCI Bag,PCS
IC-1.VBDS.VBDS.004935,UNITEVB45/VCI Bag/7 X 45 SFG,UNITEVB45,VCI Bag,PCS
IC-1.VBDS.VBDS.004936,UNITEVB26/VCI Bag/8 X 26 SFG,UNITEVB26,VCI Bag,PCS
IC-1.VBDS.VBDS.004937,UNITEVB40/VCI Bag/330 X 400 SFG,UNITEVB40,VCI Bag,PCS
IC-1.VBDS.VBDS.004938,UNITEVB38/VCI Bag/5 X 32 SFG,UNITEVB38,VCI Bag,PCS
IC-1.VBDS.VBDS.004939,UNITEVB26/VCI Bag/6 X 26 SFG,UNITEVB26,VCI Bag,PCS
IC-1.VBDS.VBDS.004940,UNITEVB20/VCI Bag/8 X 20 SFG,UNITEVB20,VCI Bag,PCS
IC-1.VBDS.VBDS.004941,UMIYAVB30/VCI Bag/30 X 28 X 9 SFG,UMIYAVB30,VCI Bag,PCS
IC-1.VBDS.VBDS.004942,UMIYAVB35/VCI Bag/35 X 30 X 9 SFG,UMIYAVB35,VCI Bag,PCS
IC-1.VBDS.VBDS.004943,UMIYAVB38/VCI Bag/38 X 40 X 13 SFG,UMIYAVB38,VCI Bag,PCS
IC-1.VBDS.VBDS.004944,ADARSHAVB1160/VCI Bag/1160 X 960 MM SFG,ADARSHAVB1160,VCI Bag,PCS
IC-1.VBDS.VBDS.004945,ADARSHAVB1180/VCI Bag/1180 X 980 X1250 MM SFG,ADARSHAVB1180,VCI Bag,PCS
